Auftragsgrößen je nach Splitting;;;;;
 Kaufland ;;; Edeka ;;
original;18t;8t;original;18t;8t
15;15;10;20;16;10
14;14;5;4;4;10
29;16;10;3;4;4
22;13;4;18;3;3
19;16;10;21;16;10
22;6;10;12;2;8
21;16;9;10;16;10
15;3;10;8;5;10
20;16;10;5;12;1
32;6;2;20;10;10
18;16;10;12;8;2
16;5;9;15;5;10
28;15;10;20;16;8
23;16;10;11;4;5
21;4;2;8;12;10
16;16;10;10;15;10
16;16;10;9;16;10
;16;1;11;4;2
;2;10;15;11;10
;16;5;12;8;5
;16;10;18;10;10
;12;10;18;9;10
;16;10;14;11;10
;7;10;18;15;1
;16;10;20;12;8
;5;2;20;16;10
;16;10;4;2;9
;16;8;4;16;10
;;10;15;2;1
;;6;19;14;10
;;10;7;16;5
;;10;9;2;10
;;8;8;16;2
;;10;15;4;10
;;10;12;16;8
;;3;13;4;10
;;10;12;4;8
;;10;15;4;10
;;1;19;15;4
;;10;6;16;10
;;6;12;3;8
;;10;21;7;10
;;6;20;9;10
;;;6;8;10
;;;18;15;10
;;;3;12;4
;;;10;13;4
;;;7;12;10
;;;15;15;5
;;;8;16;10
;;;13;3;9
;;;18;6;7
;;;9;12;9
;;;15;16;8
;;;17;5;10
;;;6;16;5
;;;15;4;10
;;;4;6;2
;;;20;16;10
;;;11;2;3
;;;19;3;10
;;;6;10;2
;;;16;7;10
;;;12;15;5
;;;7;8;10
;;;16;13;9
;;;3;16;6
;;;16;2;10
;;;7;9;2
;;;21;15;10
;;;7;16;10
;;;7;1;1
;;;;6;10
;;;;15;10
;;;;4;6
;;;;16;10
;;;;4;8
;;;;11;3
;;;;16;10
;;;;3;7
;;;;6;10
;;;;16;5
;;;;12;8
;;;;7;10
;;;;16;3
;;;;3;10
;;;;16;8
;;;;7;9
;;;;16;10
;;;;5;5
;;;;7;10
;;;;7;7
;;;;;6
;;;;;10
;;;;;5
;;;;;4
;;;;;10
;;;;;10
;;;;;10
;;;;;1
;;;;;10
;;;;;9
;;;;;6
;;;;;10
;;;;;6
;;;;;10
;;;;;2
;;;;;7
;;;;;10
;;;;;6
;;;;;3
;;;;;10
;;;;;6
;;;;;7
;;;;;10
;;;;;10
;;;;;1
;;;;;7
;;;;;7
